‐  hyphen
╕  box drawings down single and left double
╖  box drawings down double and left single
╗  box drawings double down and left
╘  box drawings up single and right double
╙  box drawings up double and right single
╚  box drawings double up and right
╛  box drawings up single and left double
╜  box drawings up double and left single
╝  box drawings double up and left
╞  box drawings vertical single and right double
╟  box drawings vertical double and right single
╠  box drawings double vertical and right
╡  box drawings vertical single and left double
╢  box drawings vertical double and left single
╣  box drawings double vertical and left
╤  box drawings down single and horizontal double
╥  box drawings down double and horizontal single
╦  box drawings double down and horizontal
╧  box drawings up single and horizontal double
╨  box drawings up double and horizontal single
╩  box drawings double up and horizontal
╪  box drawings vertical single and horizontal double
╫  box drawings vertical double and horizontal single
╬  box drawings double vertical and horizontal
╭  box drawings light arc down and right
╮  box drawings light arc down and left
╯  box drawings light arc up and left
╰  box drawings light arc up and right
╱  box drawings light diagonal upper right to lower left
╲  box drawings light diagonal upper left to lower right
╳  box drawings light diagonal cross
╴  box drawings light left
╵  box drawings light up
╶  box drawings light right
╷  box drawings light down
╸  box drawings heavy left
╹  box drawings heavy up
╺  box drawings heavy right
╻  box drawings heavy down
╼  box drawings light left and heavy right
╽  box drawings light up and heavy down
╾  box drawings heavy left and light right
╿  box drawings heavy up and light down
▀  upper half block
▁  lower one eighth block
▂  lower one quarter block
▃  lower three eighths block
▄  lower half block
▅  lower five eighths block
▆  lower three quarters block
▇  lower seven eighths block
█  full block
▉  left seven eighths block
▊  left three quarters block
▋  left five eighths block
▌  left half block
▍  left three eighths block
▎  left one quarter block
▏  left one eighth block
▐  right half block
░  light shade
▒  medium shade
▓  dark shade
▔  upper one eighth block
▕  right one eighth block
▖  quadrant lower left
▗  quadrant lower right
▘  quadrant upper left
▙  quadrant upper left and lower left and lower right
▚  quadrant upper left and lower right
▛  quadrant upper left and upper right and lower left
▜  quadrant upper left and upper right and lower right
▝  quadrant upper right
▞  quadrant upper right and lower left
▟  quadrant upper right and lower left and lower right
■  black square
□  white square
▢  white square with rounded corners
▣  white square containing black small square
▤  square with horizontal fill
▥  square with vertical fill
▦  square with orthogonal crosshatch fill
▧  square with upper left to lower right fill
▨  square with upper right to lower left fill
▩  square with diagonal crosshatch fill
▪  black small square
▫  white small square
▬  black rectangle
▭  white rectangle
▮  black vertical rectangle
▯  white vertical rectangle
▰  black parallelogram
▱  white parallelogram
▲  black up-pointing triangle
△  white up-pointing triangle
▴  black up-pointing small triangle
▵  white up-pointing small triangle
▶  black right-pointing triangle
▷  white right-pointing triangle
▸  black right-pointing small triangle
▹  white right-pointing small triangle
►  black right-pointing pointer
▻  white right-pointing pointer
▼  black down-pointing triangle
▽  white down-pointing triangle
▾  black down-pointing small triangle
▿  white down-pointing small triangle
◀  black left-pointing triangle
◁  white left-pointing triangle
◂  black left-pointing small triangle
◃  white left-pointing small triangle
◄  black left-pointing pointer
◅  white left-pointing pointer
◆  black diamond
◇  white diamond
◈  white diamond containing black small diamond
◉  fisheye
◊  lozenge
○  white circle
◌  dotted circle
◍  circle with vertical fill
◎  bullseye
●  black circle
◐  circle with left half black
◑  circle with right half black
◒  circle with lower half black
◓  circle with upper half black
◔  circle with upper right quadrant black
◕  circle with all but upper left quadrant black
◖  left half black circle
◗  right half black circle
◘  inverse bullet
◙  inverse white circle
◚  upper half inverse white circle
◛  lower half inverse white circle
◜  upper left quadrant circular arc
◝  upper right quadrant circular arc
◞  lower right quadrant circular arc
◟  lower left quadrant circular arc
◠  upper half circle
◡  lower half circle
◢  black lower right triangle
◣  black lower left triangle
◤  black upper left triangle
◥  black upper right triangle
◦  white bullet
◧  square with left half black
◨  square with right half black
◩  square with upper left diagonal half black
◪  square with lower right diagonal half black
◫  white square with vertical bisecting line
◬  white up-pointing triangle with dot
◭  up-pointing triangle with left half black
◮  up-pointing triangle with right half black
◯  large circle
◰  white square with upper left quadrant
◱  white square with lower left quadrant
◲  white square with lower right quadrant
◳  white square with upper right quadrant
◴  white circle with upper left quadrant
◵  white circle with lower left quadrant
◶  white circle with lower right quadrant
◷  white circle with upper right quadrant
◸  upper left triangle
◹  upper right triangle
◺  lower left triangle
◻  white medium square
◼  black medium square
◽  white medium small square
◾  black medium small square
◿  lower right triangle
☀  black sun with rays
☁  cloud
☂  umbrella
☃  snowman
☄  comet
★  black star
☆  white star
☇  lightning
☈  thunderstorm
☉  sun
☊  ascending node
☋  descending node
☌  conjunction
☍  opposition
☎  black telephone
☏  white telephone
☐  ballot box
☑  ballot box with check
☒  ballot box with x
☓  saltire
☔  umbrella with rain drops
☕  hot beverage
☖  white shogi piece
☗  black shogi piece
☘  shamrock
☙  reversed rotated floral heart bullet
☚  black left pointing index
☛  black right pointing index
☜  white left pointing index
☝  white up pointing index
☞  white right pointing index
☟  white down pointing index
☠  skull and crossbones
☡  caution sign
☢  radioactive sign
☣  biohazard sign
☤  caduceus
☥  ankh
☦  orthodox cross
☧  chi rho
☨  cross of lorraine
☩  cross of jerusalem
☪  star and crescent
☫  farsi symbol
☬  adi shakti
☭  hammer and sickle
☮  peace symbol
☯  yin yang
☰  trigram for heaven
☱  trigram for lake
☲  trigram for fire
☳  trigram for thunder
☴  trigram for wind
☵  trigram for water
☶  trigram for mountain
☷  trigram for earth
☸  wheel of dharma
☹  white frowning face
☺  white smiling face
☻  black smiling face
☼  white sun with rays
☽  first quarter moon
☾  last quarter moon
☿  mercury
♀  female sign
♁  earth
♂  male sign
♃  jupiter
♄  saturn
♅  uranus
♆  neptune
♇  pluto
♈  aries
♉  taurus
♊  gemini
♋  cancer
♌  leo
♍  virgo
♎  libra
♏  scorpius
♐  sagittarius
♑  capricorn
♒  aquarius
♓  pisces
♔  white chess king
♕  white chess queen
♖  white chess rook
♗  white chess bishop
♘  white chess knight
♙  white chess pawn
♚  black chess king
♛  black chess queen
♜  black chess rook
♝  black chess bishop
♞  black chess knight
♟  black chess pawn
♠  black spade suit
♡  white heart suit
♢  white diamond suit
♣  black club suit
♤  white spade suit
♥  black heart suit
♦  black diamond suit
♧  white club suit
♨  hot springs
♩  quarter note
♪  eighth note
♫  beamed eighth notes
♬  beamed sixteenth notes
♭  music flat sign
♮  music natural sign
♯  music sharp sign
♰  west syriac cross
♱  east syriac cross
♲  universal recycling symbol
♳  recycling symbol for type-1 plastics
♴  recycling symbol for type-2 plastics
♵  recycling symbol for type-3 plastics
♶  recycling symbol for type-4 plastics
♷  recycling symbol for type-5 plastics
♸  recycling symbol for type-6 plastics
♹  recycling symbol for type-7 plastics
♺  recycling symbol for generic materials
♻  black universal recycling symbol
♼  recycled paper symbol
♽  partially-recycled paper symbol
♾  permanent paper sign
♿  wheelchair symbol
⚀  die face-1
⚁  die face-2
⚂  die face-3
⚃  die face-4
⚄  die face-5
⚅  die face-6
⚆  white circle with dot right
⚇  white circle with two dots
⚈  black circle with white dot right
⚉  black circle with two white dots
⚊  monogram for yang
⚋  monogram for yin
⚌  digram for greater yang
⚍  digram for lesser yin
⚎  digram for lesser yang
⚏  digram for greater yin
⚐  white flag
⚑  black flag
⚒  hammer and pick
⚓  anchor
⚔  crossed swords
⚕  staff of aesculapius
⚖  scales
⚗  alembic
⚘  flower
⚙  gear
⚚  staff of hermes
⚛  atom symbol
⚜  fleur-de-lis
⚝  outlined white star
⚞  three lines converging right
⚟  three lines converging left
⚠  warning sign
⚡  high voltage sign
⚢  doubled female sign
⚣  doubled male sign
⚤  interlocked female and male sign
⚥  male and female sign
⚦  male with stroke sign
⚧  male with stroke and male and female sign
⚨  vertical male with stroke sign
⚩  horizontal male with stroke sign
⚪  medium white circle
⚫  medium black circle
⚬  medium small white circle
⚭  marriage symbol
⚮  divorce symbol
⚯  unmarried partnership symbol
⚰  coffin
⚱  funeral urn
⚲  neuter
⚳  ceres
⚴  pallas
⚵  juno
⚶  vesta
⚷  chiron
⚸  black moon lilith
⚹  sextile
⚺  semisextile
⚻  quincunx
⚼  sesquiquadrate
⚽  soccer ball
⚾  baseball
⚿  squared key
⛀  white draughts man
⛁  white draughts king
⛂  black draughts man
⛃  black draughts king
⛄  snowman without snow
⛅  sun behind cloud
⛆  rain
⛇  black snowman
⛈  thunder cloud and rain
⛉  turned white shogi piece
⛊  turned black shogi piece
⛋  white diamond in square
⛌  crossing lanes
⛍  disabled car
⛎  ophiuchus
⛏  pick
⛐  car sliding
⛑  helmet with white cross
⛒  circled crossing lanes
⛓  chains
⛔  no entry
⛕  alternate one-way left way traffic
⛖  black two-way left way traffic
⛗  white two-way left way traffic
⛘  black left lane merge
⛙  white left lane merge
⛚  drive slow sign
⛛  heavy white down-pointing triangle
⛜  left closed entry
⛝  squared saltire
⛞  falling diagonal in white circle in black square
⛟  black truck
⛠  restricted left entry-1
⛡  restricted left entry-2
⛢  astronomical symbol for uranus
⛣  heavy circle with stroke and two dots above
⛤  pentagram
⛥  right-handed interlaced pentagram
⛦  left-handed interlaced pentagram
⛧  inverted pentagram
⛨  black cross on shield
⛩  shinto shrine
⛪  church
⛫  castle
⛬  historic site
⛭  gear without hub
⛮  gear with handles
⛯  map symbol for lighthouse
⛰  mountain
⛱  umbrella on ground
⛲  fountain
⛳  flag in hole
⛴  ferry
⛵  sailboat
⛶  square four corners
⛷  skier
⛸  ice skate
⛹  person with ball
⛺  tent
⛻  japanese bank symbol
⛼  headstone graveyard symbol
⛽  fuel pump
⛾  cup on black square
⛿  white flag with horizontal middle black stripe
✀  black safety scissors
✁  upper blade scissors
✂  black scissors
✃  lower blade scissors
✄  white scissors
✅  white heavy check mark
✆  telephone location sign
✇  tape drive
✈  airplane
✉  envelope
✊  raised fist
✋  raised hand
✌  victory hand
✍  writing hand
✎  lower right pencil
✏  pencil
✐  upper right pencil
✑  white nib
✒  black nib
✓  check mark
✔  heavy check mark
✕  multiplication x
✖  heavy multiplication x
✗  ballot x
✘  heavy ballot x
✙  outlined greek cross
✚  heavy greek cross
✛  open centre cross
✜  heavy open centre cross
✝  latin cross
✞  shadowed white latin cross
✟  outlined latin cross
✠  maltese cross
✡  star of david
✢  four teardrop-spoked asterisk
✣  four balloon-spoked asterisk
✤  heavy four balloon-spoked asterisk
✥  four club-spoked asterisk
✦  black four pointed star
✧  white four pointed star
✨  sparkles
✩  stress outlined white star
✪  circled white star
✫  open centre black star
✬  black centre white star
✭  outlined black star
✮  heavy outlined black star
✯  pinwheel star
✰  shadowed white star
✱  heavy asterisk
✲  open centre asterisk
✳  eight spoked asterisk
✴  eight pointed black star
✵  eight pointed pinwheel star
✶  six pointed black star
✷  eight pointed rectilinear black star
✸  heavy eight pointed rectilinear black star
✹  twelve pointed black star
✺  sixteen pointed asterisk
✻  teardrop-spoked asterisk
✼  open centre teardrop-spoked asterisk
✽  heavy teardrop-spoked asterisk
✾  six petalled black and white florette
✿  black florette
❀  white florette
❁  eight petalled outlined black florette
❂  circled open centre eight pointed star
❃  heavy teardrop-spoked pinwheel asterisk
❄  snowflake
❅  tight trifoliate snowflake
❆  heavy chevron snowflake
❇  sparkle
❈  heavy sparkle
❉  balloon-spoked asterisk
❊  eight teardrop-spoked propeller asterisk
❋  heavy eight teardrop-spoked propeller asterisk
❌  cross mark
❍  shadowed white circle
❎  negative squared cross mark
❏  lower right drop-shadowed white square
❐  upper right drop-shadowed white square
❑  lower right shadowed white square
❒  upper right shadowed white square
❓  black question mark ornament
❔  white question mark ornament
❕  white exclamation mark ornament
❖  black diamond minus white x
❗  heavy exclamation mark symbol
❘  light vertical bar
❙  medium vertical bar
❚  heavy vertical bar
❛  heavy single turned comma quotation mark ornament
❜  heavy single comma quotation mark ornament
❝  heavy double turned comma quotation mark ornament
❞  heavy double comma quotation mark ornament
❟  heavy low single comma quotation mark ornament
❠  heavy low double comma quotation mark ornament
❡  curved stem paragraph sign ornament
❢  heavy exclamation mark ornament
❣  heavy heart exclamation mark ornament
❤  heavy black heart
❥  rotated heavy black heart bullet
❦  floral heart
❧  rotated floral heart bullet
❨  medium left parenthesis ornament
❩  medium right parenthesis ornament
❪  medium flattened left parenthesis ornament
❫  medium flattened right parenthesis ornament
❬  medium left-pointing angle bracket ornament
❭  medium right-pointing angle bracket ornament
❮  heavy left-pointing angle quotation mark ornament
❯  heavy right-pointing angle quotation mark ornament
❰  heavy left-pointing angle bracket ornament
❱  heavy right-pointing angle bracket ornament
❲  light left tortoise shell bracket ornament
❳  light right tortoise shell bracket ornament
❴  medium left curly bracket ornament
❵  medium right curly bracket ornament
❶  dingbat negative circled digit one
❷  dingbat negative circled digit two
❸  dingbat negative circled digit three
❹  dingbat negative circled digit four
❺  dingbat negative circled digit five
❻  dingbat negative circled digit six
❼  dingbat negative circled digit seven
❽  dingbat negative circled digit eight
❾  dingbat negative circled digit nine
❿  dingbat negative circled number ten
➀  dingbat circled sans-serif digit one
➁  dingbat circled sans-serif digit two
➂  dingbat circled sans-serif digit three
➃  dingbat circled sans-serif digit four
➄  dingbat circled sans-serif digit five
➅  dingbat circled sans-serif digit six
➆  dingbat circled sans-serif digit seven
➇  dingbat circled sans-serif digit eight
➈  dingbat circled sans-serif digit nine
➉  dingbat circled sans-serif number ten
➊  dingbat negative circled sans-serif digit one
➋  dingbat negative circled sans-serif digit two
➌  dingbat negative circled sans-serif digit three
➍  dingbat negative circled sans-serif digit four
➎  dingbat negative circled sans-serif digit five
➏  dingbat negative circled sans-serif digit six
➐  dingbat negative circled sans-serif digit seven
➑  dingbat negative circled sans-serif digit eight
➒  dingbat negative circled sans-serif digit nine
➓  dingbat negative circled sans-serif number ten
➔  heavy wide-headed rightwards arrow
➕  heavy plus sign
➖  heavy minus sign
➗  heavy division sign
➘  heavy south east arrow
➙  heavy rightwards arrow
➚  heavy north east arrow
➛  drafting point rightwards arrow
➜  heavy round-tipped rightwards arrow
➝  triangle-headed rightwards arrow
➞  heavy triangle-headed rightwards arrow
➟  dashed triangle-headed rightwards arrow
➠  heavy dashed triangle-headed rightwards arrow
➡  black rightwards arrow
➢  three-d top-lighted rightwards arrowhead
➣  three-d bottom-lighted rightwards arrowhead
➤  black rightwards arrowhead
➥  heavy black curved downwards and rightwards arrow
➦  heavy black curved upwards and rightwards arrow
➧  squat black rightwards arrow
➨  heavy concave-pointed black rightwards arrow
➩  right-shaded white rightwards arrow
➪  left-shaded white rightwards arrow
➫  back-tilted shadowed white rightwards arrow
➬  front-tilted shadowed white rightwards arrow
➭  heavy lower right-shadowed white rightwards arrow
➮  heavy upper right-shadowed white rightwards arrow
➯  notched lower right-shadowed white rightwards arrow
➰  curly loop
➱  notched upper right-shadowed white rightwards arrow
➲  circled heavy white rightwards arrow
➳  white-feathered rightwards arrow
➴  black-feathered south east arrow
➵  black-feathered rightwards arrow
➶  black-feathered north east arrow
➷  heavy black-feathered south east arrow
➸  heavy black-feathered rightwards arrow
➹  heavy black-feathered north east arrow
➺  teardrop-barbed rightwards arrow
➻  heavy teardrop-shanked rightwards arrow
➼  wedge-tailed rightwards arrow
➽  heavy wedge-tailed rightwards arrow
➾  open-outlined rightwards arrow
➿  double curly loop
⟰  upwards quadruple arrow
⟱  downwards quadruple arrow
⟲  anticlockwise gapped circle arrow
⟳  clockwise gapped circle arrow
⟴  right arrow with circled plus
⟵  long leftwards arrow
⟶  long rightwards arrow
⟷  long left right arrow
⟸  long leftwards double arrow
⟹  long rightwards double arrow
⟺  long left right double arrow
⟻  long leftwards arrow from bar
⟼  long rightwards arrow from bar
⟽  long leftwards double arrow from bar
⟾  long rightwards double arrow from bar
⟿  long rightwards squiggle arrow
⠀  braille pattern blank
⠁  braille pattern dots-1
⠂  braille pattern dots-2
⠃  braille pattern dots-12
⠄  braille pattern dots-3
⠅  braille pattern dots-13
⠆  braille pattern dots-23
⠇  braille pattern dots-123
⠈  braille pattern dots-4
⠉  braille pattern dots-14
⠊  braille pattern dots-24
⠋  braille pattern dots-124
⠌  braille pattern dots-34
⠍  braille pattern dots-134
⠎  braille pattern dots-234
⠏  braille pattern dots-1234
⠐  braille pattern dots-5
⠑  braille pattern dots-15
⠒  braille pattern dots-25
⠓  braille pattern dots-125
⠔  braille pattern dots-35
⠕  braille pattern dots-135
⠖  braille pattern dots-235
⠗  braille pattern dots-1235
⠘  braille pattern dots-45
⠙  braille pattern dots-145
⠚  braille pattern dots-245
⠛  braille pattern dots-1245
⠜  braille pattern dots-345
⠝  braille pattern dots-1345
⠞  braille pattern dots-2345
⠟  braille pattern dots-12345
⠠  braille pattern dots-6
⠡  braille pattern dots-16
⠢  braille pattern dots-26
⠣  braille pattern dots-126
⠤  braille pattern dots-36
⠥  braille pattern dots-136
⠦  braille pattern dots-236
⠧  braille pattern dots-1236
⠨  braille pattern dots-46
⠩  braille pattern dots-146
⠪  braille pattern dots-246
⠫  braille pattern dots-1246
⠬  braille pattern dots-346
⠭  braille pattern dots-1346
⠮  braille pattern dots-2346
⠯  braille pattern dots-12346
⠰  braille pattern dots-56
⠱  braille pattern dots-156
⠲  braille pattern dots-256
⠳  braille pattern dots-1256
⠴  braille pattern dots-356
⠵  braille pattern dots-1356
⠶  braille pattern dots-2356
⠷  braille pattern dots-12356
⠸  braille pattern dots-456
⠹  braille pattern dots-1456
⠺  braille pattern dots-2456
⠻  braille pattern dots-12456
⠼  braille pattern dots-3456
⠽  braille pattern dots-13456
⠾  braille pattern dots-23456
⠿  braille pattern dots-123456
⡀  braille pattern dots-7
⡁  braille pattern dots-17
⡂  braille pattern dots-27
⡃  braille pattern dots-127
⡄  braille pattern dots-37
⡅  braille pattern dots-137
⡆  braille pattern dots-237
⡇  braille pattern dots-1237
⡈  braille pattern dots-47
⡉  braille pattern dots-147
⡊  braille pattern dots-247
⡋  braille pattern dots-1247
⡌  braille pattern dots-347
⡍  braille pattern dots-1347
⡎  braille pattern dots-2347
⡏  braille pattern dots-12347
⡐  braille pattern dots-57
⡑  braille pattern dots-157
⡒  braille pattern dots-257
⡓  braille pattern dots-1257
⡔  braille pattern dots-357
⡕  braille pattern dots-1357
⡖  braille pattern dots-2357
⡗  braille pattern dots-12357
⡘  braille pattern dots-457
⡙  braille pattern dots-1457
⡚  braille pattern dots-2457
⡛  braille pattern dots-12457
⡜  braille pattern dots-3457
⡝  braille pattern dots-13457
⡞  braille pattern dots-23457
⡟  braille pattern dots-123457
⡠  braille pattern dots-67
⡡  braille pattern dots-167
⡢  braille pattern dots-267
⡣  braille pattern dots-1267
⡤  braille pattern dots-367
⡥  braille pattern dots-1367
⡦  braille pattern dots-2367
⡧  braille pattern dots-12367
⡨  braille pattern dots-467
⡩  braille pattern dots-1467
⡪  braille pattern dots-2467
⡫  braille pattern dots-12467
⡬  braille pattern dots-3467
⡭  braille pattern dots-13467
⡮  braille pattern dots-23467
⡯  braille pattern dots-123467
⡰  braille pattern dots-567
⡱  braille pattern dots-1567
⡲  braille pattern dots-2567
⡳  braille pattern dots-12567
⡴  braille pattern dots-3567
⡵  braille pattern dots-13567
⡶  braille pattern dots-23567
⡷  braille pattern dots-123567
⡸  braille pattern dots-4567
⡹  braille pattern dots-14567
⡺  braille pattern dots-24567
⡻  braille pattern dots-124567
⡼  braille pattern dots-34567
⡽  braille pattern dots-134567
⡾  braille pattern dots-234567
⡿  braille pattern dots-1234567
⢀  braille pattern dots-8
⢁  braille pattern dots-18
⢂  braille pattern dots-28
⢃  braille pattern dots-128
⢄  braille pattern dots-38
⢅  braille pattern dots-138
⢆  braille pattern dots-238
⢇  braille pattern dots-1238
⢈  braille pattern dots-48
⢉  braille pattern dots-148
⢊  braille pattern dots-248
⢋  braille pattern dots-1248
⢌  braille pattern dots-348
⢍  braille pattern dots-1348
⢎  braille pattern dots-2348
⢏  braille pattern dots-12348
⢐  braille pattern dots-58
⢑  braille pattern dots-158
⢒  braille pattern dots-258
⢓  braille pattern dots-1258
⢔  braille pattern dots-358
⢕  braille pattern dots-1358
⢖  braille pattern dots-2358
⢗  braille pattern dots-12358
⢘  braille pattern dots-458
⢙  braille pattern dots-1458
⢚  braille pattern dots-2458
⢛  braille pattern dots-12458
⢜  braille pattern dots-3458
⢝  braille pattern dots-13458
⢞  braille pattern dots-23458
⢟  braille pattern dots-123458
⢠  braille pattern dots-68
⢡  braille pattern dots-168
⢢  braille pattern dots-268
⢣  braille pattern dots-1268
⢤  braille pattern dots-368
⢥  braille pattern dots-1368
⢦  braille pattern dots-2368
⢧  braille pattern dots-12368
⢨  braille pattern dots-468
⢩  braille pattern dots-1468
⢪  braille pattern dots-2468
⢫  braille pattern dots-12468
⢬  braille pattern dots-3468
⢭  braille pattern dots-13468
⢮  braille pattern dots-23468
⢯  braille pattern dots-123468
⢰  braille pattern dots-568
⢱  braille pattern dots-1568
⢲  braille pattern dots-2568
⢳  braille pattern dots-12568
⢴  braille pattern dots-3568
⢵  braille pattern dots-13568
⢶  braille pattern dots-23568
⢷  braille pattern dots-123568
⢸  braille pattern dots-4568
⢹  braille pattern dots-14568
⢺  braille pattern dots-24568
⢻  braille pattern dots-124568
⢼  braille pattern dots-34568
⢽  braille pattern dots-134568
⢾  braille pattern dots-234568
⢿  braille pattern dots-1234568
⣀  braille pattern dots-78
⣁  braille pattern dots-178
⣂  braille pattern dots-278
⣃  braille pattern dots-1278
⣄  braille pattern dots-378
⣅  braille pattern dots-1378
⣆  braille pattern dots-2378
⣇  braille pattern dots-12378
⣈  braille pattern dots-478
⣉  braille pattern dots-1478
⣊  braille pattern dots-2478
⣋  braille pattern dots-12478
⣌  braille pattern dots-3478
⣍  braille pattern dots-13478
⣎  braille pattern dots-23478
⣏  braille pattern dots-123478
⣐  braille pattern dots-578
⣑  braille pattern dots-1578
⣒  braille pattern dots-2578
⣓  braille pattern dots-12578
⣔  braille pattern dots-3578
⣕  braille pattern dots-13578
⣖  braille pattern dots-23578
⣗  braille pattern dots-123578
⣘  braille pattern dots-4578
⣙  braille pattern dots-14578
⣚  braille pattern dots-24578
⣛  braille pattern dots-124578
⣜  braille pattern dots-34578
⣝  braille pattern dots-134578
⣞  braille pattern dots-234578
⣟  braille pattern dots-1234578
⣠  braille pattern dots-678
⣡  braille pattern dots-1678
⣢  braille pattern dots-2678
⣣  braille pattern dots-12678
⣤  braille pattern dots-3678
⣥  braille pattern dots-13678
⣦  braille pattern dots-23678
⣧  braille pattern dots-123678
⣨  braille pattern dots-4678
⣩  braille pattern dots-14678
⣪  braille pattern dots-24678
⣫  braille pattern dots-124678
⣬  braille pattern dots-34678
⣭  braille pattern dots-134678
⣮  braille pattern dots-234678
⣯  braille pattern dots-1234678
⣰  braille pattern dots-5678
⣱  braille pattern dots-15678
⣲  braille pattern dots-25678
⣳  braille pattern dots-125678
⣴  braille pattern dots-35678
⣵  braille pattern dots-135678
⣶  braille pattern dots-235678
⣷  braille pattern dots-1235678
⣸  braille pattern dots-45678
⣹  braille pattern dots-145678
⣺  braille pattern dots-245678
⣻  braille pattern dots-1245678
⣼  braille pattern dots-345678
⣽  braille pattern dots-1345678
⣾  braille pattern dots-2345678
⣿  braille pattern dots-12345678
⤀  rightwards two-headed arrow with vertical stroke
⤁  rightwards two-headed arrow with double vertical stroke
⤂  leftwards double arrow with vertical stroke
⤃  rightwards double arrow with vertical stroke
⤄  left right double arrow with vertical stroke
⤅  rightwards two-headed arrow from bar
⤆  leftwards double arrow from bar
⤇  rightwards double arrow from bar
⤈  downwards arrow with horizontal stroke
⤉  upwards arrow with horizontal stroke
⤊  upwards triple arrow
⤋  downwards triple arrow
⤌  leftwards double dash arrow
⤍  rightwards double dash arrow
⤎  leftwards triple dash arrow
⤏  rightwards triple dash arrow
⤐  rightwards two-headed triple dash arrow
⤑  rightwards arrow with dotted stem
⤒  upwards arrow to bar
⤓  downwards arrow to bar
⤔  rightwards arrow with tail with vertical stroke
⤕  rightwards arrow with tail with double vertical stroke
⤖  rightwards two-headed arrow with tail
⤗  rightwards two-headed arrow with tail with vertical stroke
⤘  rightwards two-headed arrow with tail with double vertical stroke
⤙  leftwards arrow-tail
⤚  rightwards arrow-tail
⤛  leftwards double arrow-tail
⤜  rightwards double arrow-tail
⤝  leftwards arrow to black diamond
⤞  rightwards arrow to black diamond
⤟  leftwards arrow from bar to black diamond
⤠  rightwards arrow from bar to black diamond
⤡  north west and south east arrow
⤢  north east and south west arrow
⤣  north west arrow with hook
⤤  north east arrow with hook
⤥  south east arrow with hook
⤦  south west arrow with hook
⤧  north west arrow and north east arrow
⤨  north east arrow and south east arrow
⤩  south east arrow and south west arrow
⤪  south west arrow and north west arrow
⤫  rising diagonal crossing falling diagonal
⤬  falling diagonal crossing rising diagonal
⤭  south east arrow crossing north east arrow
⤮  north east arrow crossing south east arrow
⤯  falling diagonal crossing north east arrow
⤰  rising diagonal crossing south east arrow
⤱  north east arrow crossing north west arrow
⤲  north west arrow crossing north east arrow
⤳  wave arrow pointing directly right
⤴  arrow pointing rightwards then curving upwards
⤵  arrow pointing rightwards then curving downwards
⤶  arrow pointing downwards then curving leftwards
⤷  arrow pointing downwards then curving rightwards
⤸  right-side arc clockwise arrow
⤹  left-side arc anticlockwise arrow
⤺  top arc anticlockwise arrow
⤻  bottom arc anticlockwise arrow
⤼  top arc clockwise arrow with minus
⤽  top arc anticlockwise arrow with plus
⤾  lower right semicircular clockwise arrow
⤿  lower left semicircular anticlockwise arrow
⥀  anticlockwise closed circle arrow
⥁  clockwise closed circle arrow
⥂  rightwards arrow above short leftwards arrow
⥃  leftwards arrow above short rightwards arrow
⥄  short rightwards arrow above leftwards arrow
⥅  rightwards arrow with plus below
⥆  leftwards arrow with plus below
⥇  rightwards arrow through x
⥈  left right arrow through small circle
⥉  upwards two-headed arrow from small circle
⥊  left barb up right barb down harpoon
⥋  left barb down right barb up harpoon
⥌  up barb right down barb left harpoon
⥍  up barb left down barb right harpoon
⥎  left barb up right barb up harpoon
⥏  up barb right down barb right harpoon
⥐  left barb down right barb down harpoon
⥑  up barb left down barb left harpoon
⥒  leftwards harpoon with barb up to bar
⥓  rightwards harpoon with barb up to bar
⥔  upwards harpoon with barb right to bar
⥕  downwards harpoon with barb right to bar
⥖  leftwards harpoon with barb down to bar
⥗  rightwards harpoon with barb down to bar
⥘  upwards harpoon with barb left to bar
⥙  downwards harpoon with barb left to bar
⥚  leftwards harpoon with barb up from bar
⥛  rightwards harpoon with barb up from bar
⥜  upwards harpoon with barb right from bar
⥝  downwards harpoon with barb right from bar
⥞  leftwards harpoon with barb down from bar
⥟  rightwards harpoon with barb down from bar
⥠  upwards harpoon with barb left from bar
⥡  downwards harpoon with barb left from bar
⥢  leftwards harpoon with barb up above leftwards harpoon with barb down
⥣  upwards harpoon with barb left beside upwards harpoon with barb right
⥤  rightwards harpoon with barb up above rightwards harpoon with barb down
⥥  downwards harpoon with barb left beside downwards harpoon with barb right
⥦  leftwards harpoon with barb up above rightwards harpoon with barb up
⥧  leftwards harpoon with barb down above rightwards harpoon with barb down
⥨  rightwards harpoon with barb up above leftwards harpoon with barb up
⥩  rightwards harpoon with barb down above leftwards harpoon with barb down
⥪  leftwards harpoon with barb up above long dash
⥫  leftwards harpoon with barb down below long dash
⥬  rightwards harpoon with barb up above long dash
⥭  rightwards harpoon with barb down below long dash
⥮  upwards harpoon with barb left beside downwards harpoon with barb right
⥯  downwards harpoon with barb left beside upwards harpoon with barb right
⥰  right double arrow with rounded head
⥱  equals sign above rightwards arrow
⥲  tilde operator above rightwards arrow
⥳  leftwards arrow above tilde operator
⥴  rightwards arrow above tilde operator
⥵  rightwards arrow above almost equal to
⥶  less-than above leftwards arrow
⥷  leftwards arrow through less-than
⥸  greater-than above rightwards arrow
⥹  subset above rightwards arrow
⥺  leftwards arrow through subset
⥻  superset above leftwards arrow
⥼  left fish tail
⥽  right fish tail
⥾  up fish tail
⥿  down fish tail
⨀  n-ary circled dot operator
⨁  n-ary circled plus operator
⨂  n-ary circled times operator
⨃  n-ary union operator with dot
⨄  n-ary union operator with plus
⨅  n-ary square intersection operator
