‐  hyphen
⇄  rightwards arrow over leftwards arrow
⇅  upwards arrow leftwards of downwards arrow
⇆  leftwards arrow over rightwards arrow
⇇  leftwards paired arrows
⇈  upwards paired arrows
⇉  rightwards paired arrows
⇊  downwards paired arrows
⇋  leftwards harpoon over rightwards harpoon
⇌  rightwards harpoon over leftwards harpoon
⇍  leftwards double arrow with stroke
⇎  left right double arrow with stroke
⇏  rightwards double arrow with stroke
⇐  leftwards double arrow
⇑  upwards double arrow
⇒  rightwards double arrow
⇓  downwards double arrow
⇔  left right double arrow
⇕  up down double arrow
⇖  north west double arrow
⇗  north east double arrow
⇘  south east double arrow
⇙  south west double arrow
⇚  leftwards triple arrow
⇛  rightwards triple arrow
⇜  leftwards squiggle arrow
⇝  rightwards squiggle arrow
⇞  upwards arrow with double stroke
⇟  downwards arrow with double stroke
⇠  leftwards dashed arrow
⇡  upwards dashed arrow
⇢  rightwards dashed arrow
⇣  downwards dashed arrow
⇤  leftwards arrow to bar
⇥  rightwards arrow to bar
⇦  leftwards white arrow
⇧  upwards white arrow
⇨  rightwards white arrow
⇩  downwards white arrow
⇪  upwards white arrow from bar
⇫  upwards white arrow on pedestal
⇬  upwards white arrow on pedestal with horizontal bar
⇭  upwards white arrow on pedestal with vertical bar
⇮  upwards white double arrow
⇯  upwards white double arrow on pedestal
⇰  rightwards white arrow from wall
⇱  north west arrow to corner
⇲  south east arrow to corner
⇳  up down white arrow
⇴  right arrow with small circle
⇵  downwards arrow leftwards of upwards arrow
⇶  three rightwards arrows
⇷  leftwards arrow with vertical stroke
⇸  rightwards arrow with vertical stroke
⇹  left right arrow with vertical stroke
⇺  leftwards arrow with double vertical stroke
⇻  rightwards arrow with double vertical stroke
⇼  left right arrow with double vertical stroke
⇽  leftwards open-headed arrow
⇾  rightwards open-headed arrow
⇿  left right open-headed arrow
∀  for all
∁  complement
∂  partial differential
∃  there exists
∄  there does not exist
∅  empty set
∆  increment
∇  nabla
∈  element of
∉  not an element of
∊  small element of
∋  contains as member
∌  does not contain as member
∍  small contains as member
∎  end of proof
∏  n-ary product
∐  n-ary coproduct
∑  n-ary summation
−  minus sign
∓  minus-or-plus sign
∔  dot plus
∕  division slash
∖  set minus
∗  asterisk operator
∘  ring operator
∙  bullet operator
√  square root
∛  cube root
∜  fourth root
∝  proportional to
∞  infinity
∟  right angle
∠  angle
∡  measured angle
∢  spherical angle
∣  divides
∤  does not divide
∥  parallel to
∦  not parallel to
∧  logical and
∨  logical or
∩  intersection
∪  union
